partId,bomId
20010523,-27ef30eb:1847f973bf5:5ed9
20010523,-43d815b2:182ca31d95b:626f
20010523,-43d815b2:182ca31d95b:673f
20010523,-43d815b2:182ca31d95b:712c
20010524,-27ef30eb:1847f973bf5:5edc
20010524,-43d815b2:182ca31d95b:6272
20010524,-43d815b2:182ca31d95b:6742
20010524,-43d815b2:182ca31d95b:712f
20020068,-336aa3e0:184513a58c5:-5d17
20020068,-43d815b2:182ca31d95b:256a
20020068,-43d815b2:182ca31d95b:2e94
20020068,-5ce2e345:185858363ff:51f1
20020069,-336aa3e0:184513a58c5:-5d16
20020069,-43d815b2:182ca31d95b:256b
20020069,-43d815b2:182ca31d95b:2e95
20020069,-5ce2e345:185858363ff:51f2
20020070,-336aa3e0:184513a58c5:-5d15
20020070,-43d815b2:182ca31d95b:256c
20020070,-43d815b2:182ca31d95b:2e96
20020070,-5ce2e345:185858363ff:51f3
20020071,-336aa3e0:184513a58c5:-5d14
20020071,-43d815b2:182ca31d95b:256d
20020071,-43d815b2:182ca31d95b:2e97
20020071,-5ce2e345:185858363ff:51f4
20020074,-336aa3e0:184513a58c5:-5d12
20020074,-43d815b2:182ca31d95b:256f
20020074,-43d815b2:182ca31d95b:2e99
20020074,-5ce2e345:185858363ff:51f6
20020075,-336aa3e0:184513a58c5:-5d11
20020075,-43d815b2:182ca31d95b:2570
20020075,-43d815b2:182ca31d95b:2e9a
20020075,-5ce2e345:185858363ff:51f7
20020077,-336aa3e0:184513a58c5:-5d0f
20020077,-43d815b2:182ca31d95b:2572
20020077,-43d815b2:182ca31d95b:2e9c
20020077,-5ce2e345:185858363ff:51f9
20020080,-43d815b2:182ca31d95b:3649
20020080,5a0534e6:18382c3d3fe:53d6
20020082,-336aa3e0:184513a58c5:-5d0e
20020082,-43d815b2:182ca31d95b:2573
20020082,-43d815b2:182ca31d95b:2e9d
20020082,-5ce2e345:185858363ff:51fa
20020084,-336aa3e0:184513a58c5:-5d0d
20020084,-43d815b2:182ca31d95b:2574
20020084,-43d815b2:182ca31d95b:2e9e
20020084,-5ce2e345:185858363ff:51fb
20020085,-43d815b2:182ca31d95b:329d
20020086,-43d815b2:182ca31d95b:329e
20020086,-43d815b2:182ca31d95b:364a
20020086,5a0534e6:18382c3d3fe:53d7
20020088,-43d815b2:182ca31d95b:32a0
20020088,-43d815b2:182ca31d95b:364c
20020088,5a0534e6:18382c3d3fe:53d9
20020089,-43d815b2:182ca31d95b:32a1
20020089,-43d815b2:182ca31d95b:364d
20020089,5a0534e6:18382c3d3fe:53da
20020090,-43d815b2:182ca31d95b:32a2
20020090,-43d815b2:182ca31d95b:364e
20020090,5a0534e6:18382c3d3fe:53db
20020091,-43d815b2:182ca31d95b:32a3
20020091,-43d815b2:182ca31d95b:364f
20020091,5a0534e6:18382c3d3fe:53dc
20020092,-43d815b2:182ca31d95b:-6d30
20020093,-43d815b2:182ca31d95b:32a4
20020093,-43d815b2:182ca31d95b:3650
20020094,-43d815b2:182ca31d95b:-6d2f
20020133,-43d815b2:182ca328636:-5a13
20020133,5a0534e6:18382c3d3fe:6e73
20020133,5a0534e6:18382c3d3fe:73ee
20020136,-43d815b2:182ca328636:-5a12
20020136,5a0534e6:18382c3d3fe:6e74
20020136,5a0534e6:18382c3d3fe:73ef
20020137,-43d815b2:182ca328636:-5a11
20020137,5a0534e6:18382c3d3fe:6e75
20020137,5a0534e6:18382c3d3fe:73f0
20020139,-43d815b2:182ca328636:-5a10
20020139,5a0534e6:18382c3d3fe:6e76
20020139,5a0534e6:18382c3d3fe:73f1
20020140,-43d815b2:182ca328636:-5a0f
20020140,5a0534e6:18382c3d3fe:6e77
20020140,5a0534e6:18382c3d3fe:73f2
20020145,-43d815b2:182ca31d95b:-6df4
20020145,-43d815b2:182ca328636:-59e3
20020146,-43d815b2:182ca31d95b:-6df3
20020146,-43d815b2:182ca328636:-59e2
20020148,-43d815b2:182ca328636:-5a0d
20020148,5a0534e6:18382c3d3fe:6e79
20020148,5a0534e6:18382c3d3fe:73f4
20020149,-43d815b2:182ca328636:-5a0c
20020149,5a0534e6:18382c3d3fe:6e7a
20020149,5a0534e6:18382c3d3fe:73f5
20020150,-43d815b2:182ca328636:-5a0b
20020150,5a0534e6:18382c3d3fe:6e7b
20020150,5a0534e6:18382c3d3fe:73f6
20020155,-43d815b2:182ca328636:-5a06
20020155,5a0534e6:18382c3d3fe:6e80
20020155,5a0534e6:18382c3d3fe:73fb
20020158,-43d815b2:182ca328636:-5a03
20020158,5a0534e6:18382c3d3fe:6e83
20020158,5a0534e6:18382c3d3fe:73fe
20020160,-43d815b2:182ca328636:-5a02
20020160,5a0534e6:18382c3d3fe:6e84
20020160,5a0534e6:18382c3d3fe:73ff
20020161,-43d815b2:182ca328636:-5a01
20020161,5a0534e6:18382c3d3fe:6e85
20020161,5a0534e6:18382c3d3fe:7400
20020164,-43d815b2:182ca328636:-5a62
20020164,5a0534e6:18382c3d3fe:6e26
20020164,5a0534e6:18382c3d3fe:73a1
20020180,-1d973b61:189d389a2e4:-7af4
20020180,-320c6525:1856163303b:-735e
20020180,-35d5fef9:188e059df3b:-3e1d
20020180,-48bb7690:1889a3e87cf:-61da
20020180,24e897ec:18335f1da20:-6fe9
20020180,4843cdee:1840acc7dbd:-aff
20020180,5a0534e6:18382c3d3fe:-333a
20020181,-1d973b61:189d389a2e4:-7af6
20020181,-320c6525:1856163303b:-735d
20020181,-320c6525:1856163303b:-78a3
20020181,-35d5fef9:188e059df3b:-3e1f
20020181,-43d815b2:182ca31d95b:1a24
20020181,-48bb7690:1889a3e87cf:-61dc
20020181,-48bb7690:1889a3e87cf:-6fe4
20020181,-48bb7690:1889a3e87cf:-762d
20020181,-48bb7690:1889a3e87cf:-7c14
20020181,24e897ec:18335f1da20:-6b7b
20020181,24e897ec:18335f1da20:-6fe8
20020181,24e897ec:18335f1da20:-7445
20020181,4843cdee:1840acc7dbd:-afe
20020181,5a0534e6:18382c3d3fe:-3339
20020181,5a0534e6:18382c3d3fe:-39e7
20020181,5a0534e6:18382c3d3fe:2191
20020182,-1d973b61:189d389a2e4:-7af5
20020182,-320c6525:1856163303b:-735c
20020182,-35d5fef9:188e059df3b:-3e1e
20020182,-48bb7690:1889a3e87cf:-61db
20020182,24e897ec:18335f1da20:-6fe7
20020182,4843cdee:1840acc7dbd:-afd
20020182,5a0534e6:18382c3d3fe:-3338
20020184,-1d973b61:189d389a2e4:-7af3
20020184,-320c6525:1856163303b:-7361
20020184,-320c6525:1856163303b:-78a7
20020184,-35d5fef9:188e059df3b:-3e1c
20020184,-43d815b2:182ca31d95b:1a1f
20020184,-43d815b2:182ca31d95b:2044
20020184,-48bb7690:1889a3e87cf:-61d9
20020184,-48bb7690:1889a3e87cf:-6fe0
20020184,-48bb7690:1889a3e87cf:-7629
20020184,-48bb7690:1889a3e87cf:-7c11
20020184,-5f8d2301:1833f8b3a53:-6d9f
20020184,-7feaea84:19097428338:56a4
20020184,24e897ec:18335f1da20:-6b7f
20020184,24e897ec:18335f1da20:-6fec
20020184,24e897ec:18335f1da20:-7448
20020184,5a0534e6:18382c3d3fe:-333e
20020184,5a0534e6:18382c3d3fe:-39ec
20020184,5a0534e6:18382c3d3fe:218d
20020207,-43d815b2:182ca31d95b:39b5
20020207,-43d815b2:182ca31d95b:3d41
20020207,-43d815b2:182ca31d95b:40eb
20020207,-43d815b2:182ca31d95b:4457
20020208,-43d815b2:182ca31d95b:39b6
20020208,-43d815b2:182ca31d95b:3d42
20020208,-43d815b2:182ca31d95b:40ec
20020208,-43d815b2:182ca31d95b:4458
20020211,-43d815b2:182ca31d95b:39b8
20020211,-43d815b2:182ca31d95b:3d44
20020211,-43d815b2:182ca31d95b:40ee
20020211,-43d815b2:182ca31d95b:445a
20020212,-43d815b2:182ca31d95b:39b9
20020212,-43d815b2:182ca31d95b:3d45
20020212,-43d815b2:182ca31d95b:40ef
20020212,-43d815b2:182ca31d95b:445b
20020213,-43d815b2:182ca31d95b:39ba
20020213,-43d815b2:182ca31d95b:3d46
20020213,-43d815b2:182ca31d95b:40f0
20020213,-43d815b2:182ca31d95b:445c
20020223,-48bb7690:1889a3e87cf:-762b
20020223,24e897ec:18335f1da20:-7444
20020224,-320c6525:1856163303b:-78a2
20020224,-43d815b2:182ca31d95b:1a25
20020224,24e897ec:18335f1da20:-6b7a
20020224,5a0534e6:18382c3d3fe:-39e6
20020225,-48bb7690:1889a3e87cf:-762c
20020225,24e897ec:18335f1da20:-7443
20020226,-320c6525:1856163303b:-78a1
20020226,-43d815b2:182ca31d95b:1a26
20020226,24e897ec:18335f1da20:-6b79
20020226,5a0534e6:18382c3d3fe:-39e5
20020235,-336aa3e0:184513a58c5:-5d0c
20020235,-43d815b2:182ca31d95b:2575
20020235,-43d815b2:182ca31d95b:2e9f
20020235,-5ce2e345:185858363ff:51fc
20020236,-336aa3e0:184513a58c5:-5d0b
20020236,-43d815b2:182ca31d95b:2576
20020236,-43d815b2:182ca31d95b:2ea0
20020236,-5ce2e345:185858363ff:51fd
20020270,-43d815b2:182ca31d95b:4876
20020270,-43d815b2:182ca31d95b:4ccf
20020270,-43d815b2:182ca31d95b:5139
20020270,-7a25748e:1828bdeb760:4258
20020270,-7a25748e:1828bdeb760:4f96
20020270,-7a25748e:1828bdeb760:5cd4
20020270,4843cdee:1840acc7dbd:-2ae4
20020270,4843cdee:1840acc7dbd:-3948
20020273,-43d815b2:182ca31d95b:4878
20020273,-43d815b2:182ca31d95b:4cd1
20020273,4843cdee:1840acc7dbd:-2ae2
20020273,4843cdee:1840acc7dbd:-3946
20020274,-43d815b2:182ca31d95b:4879
20020274,-43d815b2:182ca31d95b:4cd2
20020274,-43d815b2:182ca31d95b:513a
20020274,-7a25748e:1828bdeb760:425a
20020274,-7a25748e:1828bdeb760:4f98
20020274,-7a25748e:1828bdeb760:5cd6
20020274,4843cdee:1840acc7dbd:-2ae1
20020274,4843cdee:1840acc7dbd:-3945
20020275,-43d815b2:182ca31d95b:487a
20020275,-43d815b2:182ca31d95b:4cd3
20020275,-43d815b2:182ca31d95b:513b
20020275,-7a25748e:1828bdeb760:425c
20020275,-7a25748e:1828bdeb760:4f9a
20020275,-7a25748e:1828bdeb760:5cd8
20020275,4843cdee:1840acc7dbd:-2ae0
20020275,4843cdee:1840acc7dbd:-3944
20020277,-43d815b2:182ca31d95b:4874
20020277,-43d815b2:182ca31d95b:4ccd
