workOrderId,workOrderNo,workOrderStatus,workOrderQuantityPlanned
T20-000958618,T20-000958618,completed,300.0
T20-000958617,T20-000958617,completed,300.0
T20-000958616,T20-000958616,completed,300.0
T20-000958619,T20-000958619,completed,300.0
T10-000629685,T10-000629685,completed,300.0
T10-000629685,T10-000629685,completed,300.0
T10-000629685,T10-000629685,completed,300.0
T10-000629685,T10-000629685,completed,300.0
T10-000629685,T10-000629685,completed,300.0
T10-000629684,T10-000629684,completed,300.0
T10-000629684,T10-000629684,completed,300.0
T10-000629684,T10-000629684,completed,300.0
T10-000629689,T10-000629689,completed,300.0
T20-000958626,T20-000958626,completed,300.0
T10-000629688,T10-000629688,completed,300.0
T10-000629687,T10-000629687,completed,300.0
T10-000629686,T10-000629686,completed,300.0
T23-000029257,T23-000029257,completed,265.0
T20-000958622,T20-000958622,completed,301.0
T20-000958621,T20-000958621,completed,302.0
T20-000958620,T20-000958620,in_progress,301.0
T10-000629690,T10-000629690,completed,300.0
T10-000629690,T10-000629690,completed,300.0
T20-000958623,T20-000958623,completed,300.0
T20-000958624,T20-000958624,completed,300.0
T20-000958625,T20-000958625,completed,300.0
T10-000629690,T10-000629690,completed,300.0
T10-000629690,T10-000629690,completed,300.0
T10-000629690,T10-000629690,completed,300.0
T10-000629690,T10-000629690,completed,300.0
T10-000629690,T10-000629690,completed,300.0
T10-000630251,T10-000630251,released,99.0
T10-000630251,T10-000630251,completed,99.0
T20-000959626,T20-000959626,completed,99.0
T10-000630250,T10-000630250,released,99.0
T10-000630250,T10-000630250,completed,99.0
T20-000959625,T20-000959625,completed,99.0
T10-000630249,T10-000630249,released,99.0
T10-000630249,T10-000630249,completed,99.0
T20-000959624,T20-000959624,completed,99.0
T10-000630248,T10-000630248,released,99.0
T10-000630248,T10-000630248,completed,99.0
T20-000959623,T20-000959623,completed,99.0
T20-000959637,T20-000959637,completed,99.0
T20-000959636,T20-000959636,completed,99.0
T20-000959635,T20-000959635,completed,99.0
T20-000959634,T20-000959634,completed,99.0
T20-000959662,T20-000959662,completed,99.0
T10-000630240,T10-000630240,released,198.0
T10-000630240,T10-000630240,completed,198.0
T10-000630240,T10-000630240,completed,198.0
T20-000959628,T20-000959628,completed,198.0
T20-000959641,T20-000959641,completed,198.0
T20-000959627,T20-000959627,completed,198.0
T20-000959640,T20-000959640,completed,396.0
T20-000959639,T20-000959639,completed,99.0
T20-000959638,T20-000959638,completed,99.0
T20-000959658,T20-000959658,completed,99.0
T20-000959657,T20-000959657,completed,99.0
T20-000959660,T20-000959660,completed,198.0
T20-000959656,T20-000959656,completed,99.0
T20-000959659,T20-000959659,completed,198.0
T20-000959655,T20-000959655,completed,99.0
T20-000959649,T20-000959649,completed,99.0
T20-000959648,T20-000959648,completed,99.0
T20-000959661,T20-000959661,completed,99.0
T20-000959654,T20-000959654,completed,99.0
T20-000959681,T20-000959681,completed,99.0
T20-000959691,T20-000959691,completed,99.0
T20-000959692,T20-000959692,completed,99.0
T20-000959673,T20-000959673,completed,99.0
T20-000959674,T20-000959674,completed,99.0
T20-000959688,T20-000959688,completed,198.0
T20-000959689,T20-000959689,completed,198.0
T10-000630245,T10-000630245,completed,99.0
T10-000630245,T10-000630245,completed,99.0
T10-000630245,T10-000630245,completed,99.0
T10-000630245,T10-000630245,completed,99.0
T10-000630245,T10-000630245,completed,99.0
T10-000630245,T10-000630245,completed,99.0
